#subject	order	variable	frenchUnity	englishUnity	frenchDescription	englishDescription
SafeCell	1	totalNitrogenDemand	kg N ha-1	kg N ha-1	Total demande en zote 	Total nitrogen demad
SafeCell	1	totalNitrogenUptake	kg N ha-1	kg N ha-1	Total extraction en azote 	Total nitrogen extract
SafeCell	1	totalCarbonHumusStock	kg C ha-1	kg C ha-1	totalCarbonHumusStock	totalCarbonHumusStock
SafeCell	1	totalNitrogenHumusStock	kg N ha-1	kg N ha-1	totalNitrogenHumusStock	totalNitrogenHumusStock
SafeCell	1	activeNitrogenHumusStock	kg N ha-1	kg N ha-1	activeNitrogenHumusStock	activeNitrogenHumusStock
SafeCell	1	activeCarbonHumusStock	kg C ha-1	kg C ha-1	activeCarbonHumusStock	activeCarbonHumusStock
SafeCell	1	inactiveNitrogenHumusStock	kg N ha-1	kg N ha-1	inactiveNitrogenHumusStock	inactiveNitrogenHumusStock
SafeCell	1	inactiveCarbonHumusStock	kg C ha-1	kg C ha-1	inactiveCarbonHumusStock	inactiveCarbonHumusStock
SafeCell	1	tempStressLue	0-1	0-1	tempStressLue	tempStressLue
SafeCell	1	tempStressGrainFilling	0-1	0-1	tempStressGrainFilling	tempStressGrainFilling
SafeCell	1	frostStressPlantDensity	0-1	0-1	frostStressPlantDensity	frostStressPlantDensity
SafeCell	1	frostStressFoliage	0-1	0-1	frostStressFoliage	frostStressFoliage
SafeCell	1	frostStressReprod	0-1	0-1	frostStressReprod	frostStressReprod
SafeCell	1	tetstomate	% vol	% vol	tetstomate	tetstomate
SafeCell	1	teturg	% vol	% vol	teturg	teturg
SafeCell	1	carbonMulch	kg.ha-1	kg.ha-1	carbonMulch	carbonMulch
SafeCell	1	nitrogenMulch	kg.ha-1	kg.ha-1	nitrogenMulch	nitrogenMulch	
SafeCell	1	carbonMulchTreeFoliage	kg.ha-1	kg.ha-1	carbonMulchTreeFoliage	carbonMulchTreeFoliage
SafeCell	1	mulchBiomass	t.ha-1	t.ha-1	mulchBiomass	mulchBiomass
SafeCell	1	mulchEvaporation	mm	mm	mulchEvaporation	mulchEvaporation
SafeCell	1	mulchWaterStock	mm	mm	mulchWaterStock	mulchWaterStock	
SafeCell	1	mulchCoverRatio	-	-	mulchCoverRatio	mulchCoverRatio
SafeCell	99	waterUptakePotential	-	-	cellWaterUptakePotential	cellWaterUptakePotential
SafeCell	99	waterStock	mm	mm	cellWaterStock	cellWaterStock
SafeCell	1	nitrogenGrain	t.ha-1	t.ha-1	nitrogenGrain	nitrogenGrain	
SafeCell	1	carbonMicrobes	mm	mm	carbonMicrobes	carbonMicrobes	
SafeCell	1	carbonMicrobesMulch	-	-	carbonMicrobesMulch	carbonMicrobesMulch	
SafeCell	1	nitrogenMicrobes	-	-	nitrogenMicrobes	nitrogenMicrobes	
SafeCell	1	nitrogenMicrobesMulch	mm	mm	nitrogenMicrobesMulch	nitrogenMicrobesMulch	
SafeCell	1	nitrogenHarvested	mm	mm	nitrogenHarvested	nitrogenHarvested
SafeCell	1	biomassHarvested	mm	mm	biomassHarvested	biomassHarvested
SafeCell	1	nitrogenLossNitrification	kg N ha-1	kg N ha-1	nitrogenLossNitrification	nitrogenLossNitrification
SafeCell	1	nitrogenShallowRootResidu	g N 	g N 	nitrogenShallowRootResidu		nitrogenShallowRootResidu
SafeCell	1	nitrogenDeepRootResidu	g N 	g N 	nitrogenDeepRootResidu		nitrogenDeepRootResidu
SafeMacroClimat	1	minTemperature	°	°	Température min	a-Min temperature
SafeMacroClimat	2	maxTemperature	°	°	Température max	b-Max temperature
SafeMacroClimat	3	minRelativeHumidity	°	°	Humidité relative min	c-Min relative humidity
SafeMacroClimat	4	maxRelativeHumidity	°	°	Humidité relative max	d-Max relative humidity
SafeMacroClimat	5	precipitation	mm	mm	Précipitations	e-Precipitations
SafeMacroClimat	6	rain	mm	mm	Pluie	f-Rain
SafeMacroClimat	7	snow	mm	mm	Neige	g-Snow
SafeMacroClimat	8	meltedSnow	mm	mm	Neige fondue	h-Melted snow
SafeMacroClimat	9	stockedSnow	mm	mm	Neige stockée	i-Stocked snow
SafeMacroClimat	10	rainCapacityinSnow	mm	mm	Capacité de pluie stockée dans la neige	j-Rain capacity stocked in snow
SafeMacroClimat	11	rainCapturedBySnow	mm	mm	Pluie stockée dans la neige	j-Rain Captured By Snow
SafeMacroClimat	11	waterEnteringSoil	mm	mm	Eau pénétrant le sol	j-water Entering the Soil
SafeMacroClimat	12	etpPenman	mm	mm	etpPenman	k-etpPenman
SafeMacroClimat	13	globalPar	Moles m-2	Moles m-2	Rayonnement PAR global	l-Global PAR radiation
SafeMacroClimat	14	globalRadiation	MJ m-2	MJ m-2	Rayonnement global	m-Global radiation
SafeMacroClimat	15	diffusePar	Moles m-2	Moles m-2	Rayonnement PAR diffus	n-Diffuse PAR radiation
SafeMacroClimat	16	directPar	Moles m-2	Moles m-2	Rayonnement PAR direct	o-Direct PAR radiation
SafeMacroClimat	17	extraTerrestrialRadiation	MJ m-2	MJ m-2	Rayonnement extraterrestre	p-Extraterrestrial radiation
SafeMacroClimat	18	infraRedRadiation	W m-2	W m-2	Rayonnement infra-rouge	q-Infra-red radiation
SafeMacroClimat	19	sunDeclination	radian	radian	Inclinaison du soleil	r-Sun declination
SafeMacroClimat	20	dayLength	h	h	Longueur du jour	s-Day lenght
SafeMacroClimat	21	airVpd	mbar	mbar	Deficit de pression de vapeur 	t-Vapour pressure deficit  of the air
SafeMacroClimat	22	airVapourPressureSat	mbar	mbar	Pression de vapeur saturante	u-Air vapour pressure saturated
SafeMacroClimat	23	airVapourPressure	mbar	mbar	Pression de vapeur	v-Air vapour pressure
SafeMacroClimat	24	waterTableDepth	m	m	Profondeur de la nappe	w-Water table depth
SafeMacroClimat	25	windSpeed	m s-1	m s-1	Vitesse du vent	x-Wind speed
SafePlot	1	precipitation	mm	mm	Précipitations sur la parcelle	Precipitations on plot
SafePlot	1	mainCropName	-	-	Main crop name	aa-Culture principale
SafePlot	1	interCropName	-	-	Inter crop name	aa-Culture secondaire
SafePlot	1	mainCropArea	m2	m2	Main crop area	aa-Surface culture principale
SafePlot	1	interCropArea	m2	m2	Inter crop area	aa-Surface culture secondaire
SafePlot	1	mainCropMeanPeakBiomass	Kg.(m2 of plot)-1	Kg.(m2 of plot)-1	mainCropMeanPeakBiomass	mainCropMeanPeakBiomass
SafePlot	1	mainCropMeanPeakYield	t ha-1	t ha-1	mainCropMeanPeakYield	mainCropMeanPeakYield
SafePlot	1	mainCropScenePeakYield	t ha-1	t ha-1	mainCropScenePeakYield	mainCropScenePeakYield
SafePlot	1	mainCropMeanPeakLai	m2.(m2 of plot)-1	m2.(m2 of plot)-1	mainCropMeanPeakLai	mainCropMeanPeakLai
SafePlot	1	mainCropMeanPeakEai	m2.(m2 of plot)-1	m2.(m2 of plot)-1	mainCropMeanPeakEai	mainCropMeanPeakEai
SafePlot	1	interCropMeanPeakBiomass	Kg.(m2 of crop)-1	Kg.(m2 of plot)-1	interCropMeanPeakBiomass	interCropMeanPeakBiomass
SafePlot	1	interCropMeanPeakYield	t ha-1	t ha-1	interCropMeanPeakYield	interCropMeanPeakYield
SafePlot	1	interCropScenePeakYield	t ha-1	t ha-1	interCropScenePeakYield	interCropScenePeakYield
SafePlot	1	interCropMeanPeakLai	m2.(m2 of plot)-1	m2.(m2 of plot)-1	interCropMeanPeakLai	interCropMeanPeakLai
SafePlot	1	interCropMeanPeakEai	m2.(m2 of plot)-1	m2.(m2 of plot)-1	interCropMeanPeakEai	interCropMeanPeakEai
SafePlot	1	mainCropMeanBiomass	Kg.(m2 of crop)-1	Kg.(m2 of plot)-1	mainCropMeanBiomass	mainCropMeanBiomass
SafePlot	1	mainCropMeanHeight	m	m	mainCropMeanHeight	mainCropMeanHeight
SafePlot	1	mainCropMeanYield	t ha-1	t ha-1	mainCropMeanYield	mainCropMeanYield
SafePlot	1	mainCropSceneYield	t ha-1	t ha-1	mainCropSceneYield	mainCropSceneYield
SafePlot	1	mainCropMeanLai	m2.(m2 of crop)-1	m2.(m2 of plot)-1	mainCropMeanLai	mainCropMeanLai
SafePlot	1	mainCropMeanEai	m2.(m2 of crop)-1	m2.(m2 of plot)-1	mainCropMeanEai	mainCropMeanEai
SafePlot	1	interCropMeanBiomass	Kg.(m2 of crop)-1	Kg.(m2 of plot)-1	interCropMeanBiomass	interCropMeanBiomass
SafePlot	1	interCropMeanHeight	m	m	interCropMeanHeight	interCropMeanHeight
SafePlot	1	interCropMeanYield	t ha-1	t ha-1	interCropMeanYield	interCropMeanYield
SafePlot	1	interCropSceneYield	t ha-1	t ha-1	interCropSceneYield	interCropSceneYield
SafePlot	1	interCropMeanLai	m2.(m2 of crop)-1	m2.(m2 of plot)-1	interCropMeanLai	interCropMeanLai
SafePlot	1	interCropMeanEai	m2.(m2 of crop)-1	m2.(m2 of plot)-1	interCropMeanEai	interCropMeanEai
SafePlot	1	waterUptakeInSaturationByMainCrop	mm	mm	waterUptakeInSaturationByMainCrop	waterUptakeInSaturationByMainCrop
SafePlot	1	waterUptakeInSaturationByInterCrop	mm	mm	waterUptakeInSaturationByInterCrop	waterUptakeInSaturationByInterCrop
SafePlot	1	waterUptakeInSaturationByTrees	mm	mm	waterUptakeInSaturationByTrees	waterUptakeInSaturationByTrees
SafePlot	1	nitrogenUptakeInSaturationByTrees	g	g	nitrogenUptakeInSaturationByTrees	nitrogenUptakeInSaturationByTrees
SafePlot	1	nitrogenUptakeInSaturationByMainCrop	g	g	nitrogenUptakeInSaturationByMainCrop	nitrogenUptakeInSaturationBymainCrop
SafePlot	1	nitrogenUptakeInSaturationByInterCrop	g	g	nitrogenUptakeInSaturationByInterCrop	nitrogenUptakeInSaturationByInterCrop
