#subject	order	variable	frenchUnity	englishUnity	frenchDescription	englishDescription
SafeTree	99	parInterceptedAnnual	Moles	Moles	Rayonnement PAR  intercepté annuel	zz-PAR intercepted annual
SafeTree	99	interceptedRainAnnual	litres	liters	Eau de pluie interceptée annuel	zz-Water intercepted rain annual
SafeTree	99	carbonAllocToGrowthAnnual	kg c	kg c	CarbonAllocToGrowth annual	zz-CarbonAllocToGrowth annual
SafeTree	99	carbonFoliageSenAnnual	kg	kg	carbonFoliageSenescence annual	zz-carbonFoliageSenescence annual
SafeTree	99	carbonFineRootSenAnnual	kg	kg	Carbon senescent des racines fines annuel	zz-Carbon fine roots annual senescent
SafeTree	99	carbonCoarseRootSenAnnual	kg	kg	Carbon senescent des racines structure annuel	zz-Carbon coarse  roots annual senescent
SafeTree	99	carbonFineRootSenAnoxiaAnnual	kg	kg	Carbon senescent (anoxie) des racines fines annuel	zz-Carbon fine roots annual senescent by anoxia
SafeTree	99	carbonCoarseRootSenAnoxiaAnnual	kg	kg	Carbon senescent (anoxie) des racines structure annuel	zz-Carbon coarse  roots annual senescent by anoxia
SafeTree	99	rootedVolume	m3	m3	Volume total des voxels racinés	zz-Total volume of rooted voxels
SafeTree	99	rootedVolumePerLayer	m3	m3	Volume total des voxels racinés par couches	zz-Total volume of rooted voxels per layers
SafeTree	54	maxRootDistanceOnTreeLine	m	m	Extension des racines dans la ligne des arbres	cc-Root extension on tree line
SafeTree	55	maxRootDistanceOnCropLine	m	m	Extension des racines dans la direction culture	cd-Root extension on crop line
SafeTree	99	budburstDate	-	-	Date débourrement	zz-Date of budburst
SafeTree	99	leafExpansionEndingDate	-	-	Date fin expension feuilles	zz-Date of leaf Expansion End
SafeTree	99	leafFallStartingDate	-	-	Date début chute feuilles	zz-Date of leaf Fall Start
SafeTree	99	leafFallEndingDate	-	-	Date fin chute feuilles	zz-Date of leaf Fall End
SafeTree	99	lueStressEffect	-	-	lueStressEffect	lueStressEffect
SafeTree	99	rsStressEffect	-	-	rsStressEffect	rsStressEffect
SafeTree	99	rootShootRatio	-	-	RootShootRatio	RootShootRatio
SafeTree	99	waterUptakePotential	-	-	treeWaterUptakePotential	treeWaterUptakePotential
SafeTree	99	aboveGroundAllocFrac	-	-	aboveGroundAllocFrac	aboveGroundAllocFrac
SafeTree	99	stemAllocFrac	-	-	stemAllocFrac	stemAllocFrac
SafeTree	99	branchAllocFrac	-	-	branchAllocFrac	branchAllocFrac
SafeTree	99	foliageAllocFrac	-	-	foliageAllocFrac	foliageAllocFrac
SafeTree	99	belowGroundAllocFrac	-	-	belowGroundAllocFrac	belowGroundAllocFrac
SafeTree	99	stumpAllocFrac	-	-	stumpAllocFrac	stumpAllocFrac
SafeTree	99	fineRootAllocFrac	-	-	fineRootAllocFrac	fineRootAllocFrac
SafeTree	99	coarseRootAllocFrac	-	-	coarseRootAllocFrac	coarseRootAllocFrac
SafeTree	99	aboveGroundSink	-	-	aboveGroundSink	aboveGroundSink
SafeTree	99	stemSink	-	-	stemSink	stemSink
SafeTree	99	branchSink	-	-	branchSink	branchSink
SafeTree	99	foliageSink	-	-	foliageSink	foliageSink
SafeTree	99	belowGroundSink	-	-	belowGroundSink	belowGroundSink
SafeTree	99	stumpSink	-	-	stumpSink	stumpSink
SafeTree	99	fineRootSink	-	-	fineRootSink	fineRootSink
SafeTree	99	coarseRootSink	-	-	coarseRootSink	coarseRootSink
